Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,pageranks,clustering,eigencentrality,modularity_class
217,,,12,0,12,12,0,12,0,0,0,0,0.000002,0,0,63,0.000624,0.068182,0.020781,125
368,,,0,1,1,0,1,1,1,1,1,0,0,0,7,68,0.000128,0,0,4
666,,,2,0,2,2,0,2,0,0,0,0,0,0,7,67,0.000346,0,0.000752,4
375,,,6,4,10,6,4,10,2,0.75,0.833333,69,0.000684,0.001373,0,75,0.000364,0.077778,0.017167,16
196,,,6,0,6,6,0,6,0,0,0,0,0.000096,0,0,74,0.000672,0.033333,0.013654,44
607,,,22,2,24,22,2,24,1,1,1,148.338095,0.012361,0.001608,0,73,0.001633,0.028986,0.100085,16
624,,,15,0,15,15,0,15,0,0,0,0,0.004366,0,0,70,0.00177,0.061905,0.459085,16
628,,,13,0,13,13,0,13,0,0,0,0,0.003339,0,0,69,0.001611,0.064103,0.418772,16
376,,,1,1,2,1,1,2,1,1,1,0,0.00001,0.00015,0,77,0.000194,0.5,0.000809,124
604,,,3,0,3,3,0,3,0,0,0,0,0.002203,0,0,76,0.000386,0.333333,0.002243,124
378,,,2,3,5,2,3,5,1,1,1,0.7,0.000011,0.00001,0,78,0.000166,0.4,0.00343,19
383,,,8,5,13,8,5,13,1,1,1,33.12619,0.000051,0.000048,0,80,0.00032,0.121795,0.010785,19
199,,,22,0,22,22,0,22,0,0,0,0,0.000491,0,0,79,0.002398,0.036797,0.189112,19
385,,,1,1,2,1,1,2,1,1,1,13,0.000012,0,0,82,0.000244,0,0.006821,87
225,,,4,0,4,4,0,4,0,0,0,0,0,0,0,81,0.000922,0,0.010154,87
388,,,1,1,2,1,1,2,1,1,1,0,0,0,8,84,0.000164,0.5,0.000376,5
387,,,2,0,2,2,0,2,0,0,0,0,0,0,8,83,0.000304,0.5,0.001185,5
390,,,0,1,1,0,1,1,1,1,1,0,0,0,0,86,0.000128,0,0,19
389,,,2,0,2,2,0,2,0,0,0,0,0,0,0,85,0.000296,0,0.001185,19
394,,,2,1,3,2,1,3,1,1,1,2,0,0,9,88,0.000234,0.166667,0.001185,63
392,,,1,0,1,1,0,1,0,0,0,0,0,0,9,87,0.000327,0,0.001492,63
397,,,0,1,1,0,1,1,1,1,1,0,0,0.000021,0,90,0.000128,0,0,16
215,,,3,0,3,3,0,3,0,0,0,0,0.000313,0,0,89,0.000411,0,0.041769,16
398,,,6,3,9,6,3,9,1,1,1,256.75,0.000623,0.000444,0,91,0.000565,0.125,0.13752,16
404,,,0,1,1,0,1,1,1,1,1,0,0,0,8,93,0.000128,0,0,5
345,,,2,0,2,2,0,2,0,0,0,0,0,0,8,92,0.000273,0,0.000752,5
415,,,2,1,3,2,1,3,1,1,1,0.333333,0.000029,0,0,95,0.000203,0.333333,0.001618,94
147,,,6,0,6,6,0,6,0,0,0,0,0,0,0,94,0.000559,0.1,0.006284,94
429,,,2,1,3,2,1,3,2,0.666667,0.75,2,0.000002,0.000003,0,96,0.000174,0.166667,0.001185,125
430,,,3,1,4,3,1,4,1,1,1,2,0.000003,0.000004,0,98,0.000228,0.166667,0.005216,67
573,,,8,0,8,8,0,8,0,0,0,0,0.000064,0,0,97,0.000634,0.089286,0.014597,136
435,,,0,1,1,0,1,1,1,1,1,0,0,0,7,99,0.000128,0,0,4
438,,,2,1,3,2,1,3,2,0.6,0.666667,147,0.005159,0.000002,0,102,0.00031,0.166667,0.025262,127
659,,,6,2,8,6,2,8,1,1,1,116,0.000025,0,0,101,0.001201,0.071429,0.01813,127
439,,,5,1,6,5,1,6,1,1,1,1.833333,0.000045,0.000001,0,103,0.000311,0.133333,0.005915,125
444,,,6,2,8,6,2,8,1,1,1,81.866667,0.000006,0.000004,0,106,0.000645,0.071429,0.036592,83
